                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4397,                 3.1131,                 1.3181,                0.00313,                 0.9375,                0.28812,                0.13491,                 1.3323,                 3.6149,                 1.1526,                0.00042,                0.00042,                0.00042
                      2,                 1.4889,                 2.0943,                 1.2486,                      1,                0.13759,                0.47562,                0.26981,                 1.5227,                 3.5378,                 1.3474,             0.00085149,             0.00085149,             0.00085149
                      3,                 1.4907,                 1.8982,                  1.259,                 0.3227,                0.32765,                0.26542,                0.15281,                 1.4051,                 3.1097,                 1.3027,              0.0012743,              0.0012743,              0.0012743
                      4,                 1.4723,                 1.7879,                 1.2493,                 0.2783,                0.39583,                0.20337,                0.09672,                 1.7033,                 2.8933,                 1.5045,              0.0016883,              0.0016883,              0.0016883
                      5,                 1.4436,                 1.6455,                 1.2574,                0.17862,                0.22917,                0.17687,                0.06388,                 1.6094,                 6.3194,                 1.4177,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4816,                 1.5379,                 1.2728,                0.04011,                 0.4375,                0.04377,                0.01912,                  1.512,                  13.74,                 1.4488,               0.001901,               0.001901,               0.001901
                      7,                 1.5515,                 1.4922,                 1.3349,                0.19886,                  0.375,                0.19282,                0.08566,                 1.7631,                 5.6913,                 1.6265,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4699,                 1.4059,                 1.3057,                0.78179,                0.41667,                0.52949,                0.31336,                 1.6312,                 2.4499,                 1.4756,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4409,                 1.3364,                 1.3002,                0.64466,                0.70833,                0.69437,                0.32906,                  1.585,                 1.6941,                 1.4388,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.422,                 1.2101,                 1.2712,                0.81083,                0.80375,                0.81197,                0.44383,                  1.567,                  1.396,                 1.4085,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4387,                 1.2062,                 1.2678,                0.62555,                0.77083,                0.68558,                0.34338,                 1.5433,                 1.7621,                 1.4295,               0.001802,               0.001802,               0.001802
                     12,                 1.4366,                  1.173,                 1.2738,                0.67476,                0.86452,                0.77673,                0.33762,                 1.7319,                 1.3897,                 1.4665,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4206,                 1.1081,                  1.241,                0.76993,                0.77083,                 0.8214,                0.42069,                 1.5982,                 1.4343,                 1.3665,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4384,                 1.1172,                 1.2901,                0.86006,                 0.6875,                0.82246,                0.42285,                 1.5401,                  1.258,                 1.3401,              0.0017426,              0.0017426,              0.0017426
                     15,                  1.425,                 1.1152,                 1.2411,                0.77253,                 0.8125,                0.84063,                0.47624,                 1.4831,                 1.2203,                 1.3253,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3438,                0.99583,                 1.2317,                0.79874,                0.82688,                0.84982,                0.48401,                 1.5345,                 1.1082,                 1.3307,               0.001703,               0.001703,               0.001703
                     17,                 1.3385,                  1.004,                 1.2267,                0.80041,                   0.75,                0.80813,                0.49427,                 1.3271,                 1.0655,                 1.2163,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3252,                0.95718,                 1.2149,                0.66484,                0.86792,                0.79853,                0.49171,                 1.4034,                 1.1096,                 1.2617,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3084,                0.97867,                 1.2157,                0.66776,                0.92127,                0.82603,                0.45945,                 1.3937,                 1.0784,                 1.2805,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3257,                0.93537,                 1.2242,                0.76043,                0.83333,                0.82245,                0.44329,                 1.5805,                 1.1394,                 1.3777,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3339,                0.93415,                 1.2118,                0.68967,                0.83338,                0.82442,                0.45741,                 1.6168,                 1.1334,                  1.462,               0.001604,               0.001604,               0.001604
                     22,                 1.2644,                0.87646,                 1.1773,                0.71464,                0.77083,                0.73716,                0.38448,                 1.6754,                 1.3795,                 1.4455,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2856,                0.89379,                  1.193,                0.79024,                0.70642,                0.84542,                0.48027,                 1.4796,                 1.0512,                 1.3676,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3294,                0.89235,                 1.2107,                 0.7445,                0.70833,                0.80839,                0.48592,                 1.3837,                  1.003,                 1.2561,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.2931,                0.84826,                 1.2084,                 0.6746,                0.86388,                0.82186,                0.46461,                  1.535,                0.96054,                 1.3264,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3343,                0.88886,                 1.1892,                0.76513,                0.85417,                0.85039,                0.48815,                 1.3936,                0.99332,                 1.2473,               0.001505,               0.001505,               0.001505
                     27,                  1.262,                0.88345,                 1.1578,                 0.7957,                0.89583,                0.84537,                0.47247,                 1.4899,                 1.0126,                  1.287,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2443,                 0.8024,                  1.158,                 0.8239,                 0.8773,                0.83897,                0.47597,                 1.3937,                0.94985,                 1.2516,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3012,                0.84763,                 1.1813,                0.64832,                 0.8066,                0.77777,                0.43498,                 1.5461,                 1.0866,                 1.2987,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2556,                0.81011,                 1.1705,                0.77051,                 0.8125,                0.83553,                0.48441,                 1.4935,                 1.0899,                 1.2712,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.2443,                0.79328,                 1.1705,                0.80732,                0.89583,                0.83879,                0.49237,                 1.5434,                 0.9771,                 1.2801,               0.001406,               0.001406,               0.001406
                     32,                   1.23,                0.80886,                 1.1735,                0.79806,                0.83333,                0.80801,                0.47188,                 1.4704,                 1.0093,                 1.2897,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2814,                0.81529,                 1.1811,                0.71396,                  0.875,                0.81447,                0.50629,                 1.3361,                0.98686,                 1.2001,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2354,                0.78546,                 1.1695,                0.80848,                0.79153,                0.77301,                 0.4391,                 1.4065,                 1.0928,                 1.2455,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2331,                0.80759,                 1.1494,                0.78334,                0.75331,                0.80168,                0.45368,                 1.3801,                0.94654,                 1.2365,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2566,                 0.8111,                 1.1822,                0.83859,                  0.875,                 0.8665,                0.50857,                 1.3468,                0.94211,                 1.2145,               0.001307,               0.001307,               0.001307
